radius_kpc,start_00_Vmodel_km_s,start_01_Vmodel_km_s,start_02_Vmodel_km_s,start_03_Vmodel_km_s,start_04_Vmodel_km_s,start_05_Vmodel_km_s,start_06_Vmodel_km_s,start_07_Vmodel_km_s,start_08_Vmodel_km_s,start_09_Vmodel_km_s,start_10_Vmodel_km_s,start_11_Vmodel_km_s,start_12_Vmodel_km_s,start_13_Vmodel_km_s,start_14_Vmodel_km_s,start_15_Vmodel_km_s
4.5,129.51277646312519,129.51277624534166,129.51277601378115,129.51277576632856,129.51277595548004,129.51277441068768,129.51277408892412,129.51277374371884,129.51277588465692,129.51277621613232,129.51277495548891,129.51277588528035,129.51277573124031,129.51277380561308,129.51277461131068,129.51277466251162
4.8200000000000003,134.72789413526371,134.72789391186487,134.72789367447388,134.72789342074182,134.7278936147413,134.72789203044496,134.72789170051664,134.7278913466495,134.72789354204298,134.72789388200755,134.72789258920977,134.72789354271828,134.72789338480365,134.72789141005208,134.72789223635729,134.72789228872344
5.1500000000000004,139.08226334661583,139.08226311635468,139.0822628718318,139.08226261042111,139.08226281034649,139.08226117775823,139.08226083784584,139.08226047338201,139.08226273535888,139.08226308570053,139.0822617535915,139.08226273609588,139.08226257344165,139.08226053863206,139.08226139012899,139.0822614439264
5.46,143.16656677693075,143.1665665407599,143.16656629012658,143.16656602212581,143.16656622714797,143.16656455304476,143.16656420456377,143.1665638310279,143.1665661501778,143.16656650944313,143.16656514355836,143.166566150976,143.16656598426189,143.16656389784927,143.16656477100364,143.16656482599879
5.7800000000000002,146.8403243413417,146.84032409869542,146.84032384137706,146.84032356616282,146.84032377676752,146.84032205719927,146.84032169933917,146.84032131588046,146.84032369762136,146.84032406666037,146.84032266379245,146.84032369848927,146.84032352733388,146.84032138441711,146.84032228128987,146.84032233758595
6.0999999999999996,150.18918819298827,150.18918794382748,150.18918767980509,150.1891873973492,150.18918761356574,150.18918584830797,150.18918548103221,150.18918508762718,150.18918753222297,150.18918791108584,150.18918647106494,150.18918753316643,150.18918735755776,150.1891851578761,150.18918607858495,150.18918613616623
6.4299999999999997,153.0639410671381,153.06394081078818,153.06394053937842,153.06394024893882,153.063940471346,153.06393865569274,153.06393827803652,153.06393787367372,153.06394038757534,153.06394077727495,153.06393929628089,153.063940388605,153.06394020808941,153.06393794580543,153.06393889280582,153.06393895179335
6.7400000000000002,154.07933058887653,154.07933032333077,154.07933004242258,154.07932974173551,154.07932997207155,154.07932809184149,154.07932770086123,154.07932728239851,154.0793298852125,154.07933028879381,154.07932875526728,154.07932988633988,154.07932969951369,154.0793273569692,154.07932833765813,154.0793283984986
7.0599999999999996,153.40685970884786,153.40685943105595,153.40685913746444,153.40685882310601,153.40685906400807,153.40685709770082,153.40685668894469,153.4068562516465,153.40685897304823,153.40685939512994,153.40685779156001,153.40685897429697,153.40685877904315,153.4068563294866,153.40685735507944,153.40685741842546
8.0399999999999991,150.53520496827934,150.53520465200668,150.53520431880065,150.53520396165607,150.53520423570961,150.53520199948423,150.53520153509703,150.53520103902224,150.53520413177964,150.53520461189615,150.5352027888305,150.53520413347115,150.53520391190207,150.53520112698561,150.5352022933937,150.53520236434707
9.0399999999999991,148.24482700570763,148.24482665258992,148.24482628197001,148.24482588423027,148.24482618991874,148.24482369645486,148.24482317928693,148.24482262781547,148.24482607338874,148.24482660886076,148.24482457692125,148.24482607563633,148.24482582922914,148.24482272514882,148.24482402577229,148.24482410343771
10.039999999999999,148.06286319304604,148.06286281020627,148.06286241015576,148.06286198020939,148.06286231126114,148.06285961204014,148.06285905300032,148.06285845812167,148.06286218430378,148.06286276412149,148.06286056556368,148.06286218719188,148.06286192126902,148.06285856254451,148.06285997054471,148.06286005279409
11.039999999999999,149.03125164766803,149.03125124115527,149.03125081852676,149.03125036355007,149.03125071462384,149.03124785353566,149.03124726195665,149.03124663397705,149.03125057905871,149.03125119384214,149.03124886473324,149.03125058267761,149.03125030180965,149.03124674350718,149.0312482360051,149.03124832095054
