radius,Vobs,errV,Vgas,Vdisk,Vbul,literal_m1_Vbar,literal_m1_Vmodel,literal_m1_residual,literal_m1_standardized_residual,signed_m1_Vbar,signed_m1_Vmodel,signed_m1_residual,signed_m1_standardized_residual,literal_fiducial_Vbar,literal_fiducial_Vmodel,literal_fiducial_residual,literal_fiducial_standardized_residual,signed_fiducial_Vbar,signed_fiducial_Vmodel,signed_fiducial_residual,signed_fiducial_standardized_residual
20.05,154.0,2.0,39.83,96.4,0.0,104.30430911520388,142.91470612160816,-11.085293878391838,-5.542646939195919,104.30430911520388,142.91494810555935,-11.085051894440653,-5.5425259472203265,78.94877389801567,152.42779068031206,-1.5722093196879428,-0.7861046598439714,78.94877389801567,152.42777325360797,-1.5722267463920332,-0.7861133731960166
22.12,153.0,2.0,40.92,91.56,0.0,100.28798532227079,143.1226617067152,-9.877338293284794,-4.938669146642397,100.28798532227079,143.1228968900986,-9.877103109901412,-4.938551554950706,76.59022914184288,151.821545993043,-1.178454006956997,-0.5892270034784985,76.59022914184288,151.821475930738,-1.1785240692620107,-0.5892620346310053
24.03,150.0,2.0,41.77,87.03,0.0,96.53472846597747,143.29686802931366,-6.703131970686343,-3.3515659853431714,96.53472846597747,143.29709037395872,-6.702909626041276,-3.351454813020638,74.3763628446565,151.08758347989658,1.0875834798965798,0.5437917399482899,74.3763628446565,151.08747643111377,1.087476431113771,0.5437382155568855
26.1,149.0,2.0,43.71,82.67,0.0,93.51413262175937,144.1766075532748,-4.823392446725194,-2.411696223362597,93.51413262175937,144.1768079008634,-4.823192099136605,-2.4115960495683026,72.99129091884866,150.67819610128916,1.67819610128916,0.83909805064458,72.99129091884866,150.67805932417374,1.678059324173745,0.8390296620868725
28.16,148.0,2.0,45.41,79.06,0.0,91.1731961708045,145.4231308295189,-2.5768691704811033,-1.2884345852405517,91.1731961708045,145.42330191829328,-2.5766980817067235,-1.2883490408533618,72.02298174888347,150.3854931862793,2.385493186279291,1.1927465931396455,72.02298174888347,150.38533500633326,2.385335006333264,1.192667503166632
30.08,146.0,2.0,45.29,76.07,0.0,88.53151416303687,146.23705045123776,0.23705045123776358,0.11852522561888179,88.53151416303687,146.23718883908234,0.2371888390823358,0.1185944195411679,70.31718531056259,149.683696439054,3.683696439053989,1.8418482195269945,70.31718531056259,149.68352325388375,3.683523253883749,1.8417616269418744
32.14,147.0,2.0,44.56,73.27,0.0,85.75597063761799,147.0909672311583,0.09096723115828809,0.04548361557914404,85.75597063761799,147.09106459864228,0.09106459864227645,0.045532299321138225,68.33622794682188,148.84023191419044,1.84023191419044,0.92011595709522,68.33622794682188,148.84004673416393,1.8400467341639342,0.9200233670819671
34.06,148.0,2.0,44.81,70.91,0.0,83.88184666541385,148.23657699709753,0.23657699709752933,0.11828849854876466,83.88184666541385,148.23663086698588,0.23663086698587676,0.11831543349293838,67.2461905984272,148.3903477403434,0.39034774034340103,0.19517387017170051,67.2461905984272,148.39015468922244,0.3901546892224417,0.19507734461122084
36.12,148.0,2.0,45.9,68.62,0.0,82.55612878520891,149.7574971780488,1.7574971780487942,0.8787485890243971,82.55612878520891,149.75749961802887,1.7574996180288736,0.8787498090144368,66.79193214752813,148.21871721849584,0.21871721849583992,0.10935860924791996,66.79193214752813,148.2185183928881,0.21851839288808605,0.10925919644404303
38.19,149.0,2.0,46.75,66.59,0.0,81.3620955973972,151.2523816666682,2.2523816666682137,1.1261908333341069,81.3620955973972,151.25232826417982,2.2523282641798232,1.1261641320899116,66.35266799458783,148.04331320289467,-0.9566867971053341,-0.47834339855266705,66.35266799458783,148.04311026653576,-0.9568897334642372,-0.4784448667321186
40.1,150.0,2.0,47.48,64.84,0.0,80.36526612909336,152.59132372067316,2.5913237206731594,1.2956618603365797,80.36526612909336,152.59121560167588,2.5912156016758843,1.2956078008379421,66.0035089976283,147.90056304830858,-2.099436951691416,-1.049718475845708,66.0035089976283,147.90035741172744,-2.099642588272559,-1.0498212941362794
42.17,150.0,3.0,48.93,63.1,0.0,79.84832434058964,154.23110989290313,4.2311098929031346,1.4103699643010448,79.84832434058964,154.23093981932945,4.23093981932945,1.4103132731098167,66.21895423517348,148.0064353087242,-1.9935646912757932,-0.6645215637585977,66.21895423517348,148.00622792487576,-1.993772075124241,-0.6645906917080803
44.08,149.0,3.0,47.84,61.63,0.0,78.01873172514406,154.95848183852019,5.958481838520186,1.986160612840062,78.01873172514406,154.958251455966,5.958251455966007,1.9860838186553356,64.71316751635636,147.34475836788206,-1.655241632117935,-0.5517472107059783,64.71316751635636,147.3445488322048,-1.6554511677952064,-0.5518170559317355
